Date,Price,Open,High,Low,Vol.,Change %,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,rolling_mean_1,rolling_mean_2,rolling_mean_3,rolling_mean_4,rolling_mean_5,rolling_mean_6,rolling_mean_7,rolling_mean_8,rolling_mean_9,rolling_mean_10
2020-04-16,4350.16,"4,402.38","4,418.65","4,318.90",107.75M,-0.08%,4353.72,4523.91,4506.85,4442.75,4438.27,4346.14,4154.58,4220.96,4207.24,4396.12,4353.72,4438.8150000000005,4461.493333333334,4456.807500000001,4453.1,4435.2733333333335,4395.174285714286,4373.3975,4354.935555555556,4359.054
2020-04-17,4499.01,"4,470.92","4,550.78","4,464.09",134.39M,3.42%,4350.16,4353.72,4523.91,4506.85,4442.75,4438.27,4346.14,4154.58,4220.96,4207.24,4350.16,4351.9400000000005,4409.263333333333,4433.66,4435.478,4435.943333333334,4423.114285714286,4389.547500000001,4370.815555555555,4354.4580000000005
2020-04-20,4528.3,"4,531.34","4,531.34","4,426.24",79.83M,0.65%,4499.01,4350.16,4353.72,4523.91,4506.85,4442.75,4438.27,4346.14,4154.58,4220.96,4499.01,4424.585,4400.963333333334,4431.7,4446.7300000000005,4446.066666666667,4444.952857142857,4432.60125,4401.71,4383.635
2020-04-21,4357.46,"4,467.49","4,477.31","4,357.46",98.90M,-3.77%,4528.3,4499.01,4350.16,4353.72,4523.91,4506.85,4442.75,4438.27,4346.14,4154.58,4528.3,4513.655000000001,4459.156666666667,4432.7975,4451.02,4460.325,4457.814285714286,4455.37125,4443.234444444444,4414.369000000001
2020-04-22,4411.8,"4,382.20","4,417.57","4,361.44",84.20M,1.25%,4357.46,4528.3,4499.01,4350.16,4353.72,4523.91,4506.85,4442.75,4438.27,4346.14,4357.46,4442.88,4461.59,4433.7325,4417.7300000000005,4435.426666666667,4445.63,4445.27,4444.492222222222,4434.657
2020-04-23,4451.0,"4,450.19","4,495.90","4,395.75",90.08M,0.89%,4411.8,4357.46,4528.3,4499.01,4350.16,4353.72,4523.91,4506.85,4442.75,4438.27,4411.8,4384.63,4432.52,4449.1425,4429.346,4416.741666666667,4432.051428571429,4441.40125,4441.551111111112,4441.223
2020-04-24,4393.32,"4,387.03","4,448.73","4,366.09",81.30M,-1.30%,4451.0,4411.8,4357.46,4528.3,4499.01,4350.16,4353.72,4523.91,4506.85,4442.75,4451.0,4431.4,4406.753333333334,4437.14,4449.514,4432.955,4421.635714285714,4434.42,4442.467777777779,4442.496000000001
2020-04-27,4505.26,"4,479.86","4,505.26","4,448.05",75.90M,2.55%,4393.32,4451.0,4411.8,4357.46,4528.3,4499.01,4350.16,4353.72,4523.91,4506.85,4393.32,4422.16,4418.706666666666,4403.395,4428.375999999999,4440.1483333333335,4427.292857142857,4418.0962500000005,4429.8533333333335,4437.553000000001
2020-04-28,4569.79,"4,507.42","4,601.94","4,493.51",104.39M,1.43%,4505.26,4393.32,4451.0,4411.8,4357.46,4528.3,4499.01,4350.16,4353.72,4523.91,4505.26,4449.29,4449.860000000001,4440.345,4423.768,4441.19,4449.45,4437.03875,4427.781111111111,4437.393999999999
2020-04-29,4671.11,"4,566.29","4,678.93","4,552.81",111.69M,2.22%,4569.79,4505.26,4393.32,4451.0,4411.8,4357.46,4528.3,4499.01,4350.16,4353.72,4569.79,4537.525,4489.456666666667,4479.842500000001,4466.2339999999995,4448.105,4459.561428571428,4464.4925,4451.788888888888,4441.982
2020-04-30,4572.18,"4,693.28","4,719.74","4,554.91",141.61M,-2.12%,4671.11,4569.79,4505.26,4393.32,4451.0,4411.8,4357.46,4528.3,4499.01,4350.16,4671.11,4620.45,4582.053333333333,4534.87,4518.096,4500.38,4479.962857142857,4486.005,4487.450000000001,4473.721
2020-05-04,4378.23,"4,413.14","4,427.74","4,362.13",124.81M,-4.24%,4572.18,4671.11,4569.79,4505.26,4393.32,4451.0,4411.8,4357.46,4528.3,4499.01,4572.18,4621.645,4604.360000000001,4579.585,4542.332,4527.11,4510.637142857143,4491.49,4495.58,4495.923000000001
2020-05-05,4483.13,"4,455.74","4,492.52","4,419.95",93.37M,2.40%,4378.23,4572.18,4671.11,4569.79,4505.26,4393.32,4451.0,4411.8,4357.46,4528.3,4378.23,4475.205,4540.506666666667,4547.827499999999,4539.314,4514.981666666667,4505.841428571429,4494.08625,4478.905555555556,4483.845
2020-05-06,4433.38,"4,484.16","4,484.16","4,425.78",83.24M,-1.11%,4483.13,4378.23,4572.18,4671.11,4569.79,4505.26,4393.32,4451.0,4411.8,4357.46,4483.13,4430.68,4477.846666666666,4526.1625,4534.888,4529.95,4510.431428571429,4503.0025000000005,4492.868888888889,4479.3279999999995
2020-05-07,4501.44,"4,456.44","4,503.94","4,440.98",78.23M,1.54%,4433.38,4483.13,4378.23,4572.18,4671.11,4569.79,4505.26,4393.32,4451.0,4411.8,4433.38,4458.255,4431.580000000001,4466.73,4507.606000000001,4517.97,4516.154285714286,4500.8,4495.266666666666,4486.92
2020-05-08,4549.64,"4,538.09","4,560.19","4,519.59",49.41M,1.07%,4501.44,4433.38,4483.13,4378.23,4572.18,4671.11,4569.79,4505.26,4393.32,4451.0,4501.44,4467.41,4472.650000000001,4449.045,4473.6720000000005,4506.578333333333,4515.608571428571,4514.3150000000005,4500.871111111111,4495.884
2020-05-11,4490.22,"4,561.19","4,569.76","4,460.24",83.49M,-1.31%,4549.64,4501.44,4433.38,4483.13,4378.23,4572.18,4671.11,4569.79,4505.26,4393.32,4549.64,4525.54,4494.82,4491.8975,4469.164,4486.333333333333,4512.7300000000005,4519.8625,4518.24,4505.748
2020-05-12,4472.5,"4,473.43","4,499.39","4,453.65",99.27M,-0.39%,4490.22,4549.64,4501.44,4433.38,4483.13,4378.23,4572.18,4671.11,4569.79,4505.26,4490.22,4519.93,4513.766666666666,4493.67,4491.562,4472.673333333333,4486.888571428572,4509.91625,4516.568888888889,4515.438
2020-05-13,4344.95,"4,420.50","4,422.74","4,336.56",103.29M,-2.85%,4472.5,4490.22,4549.64,4501.44,4433.38,4483.13,4378.23,4572.18,4671.11,4569.79,4472.5,4481.360000000001,4504.12,4503.45,4489.436,4488.385,4472.648571428572,4485.09,4505.7588888888895,4512.162
2020-05-14,4273.13,"4,294.01","4,313.26","4,194.58",127.63M,-1.65%,4344.95,4472.5,4490.22,4549.64,4501.44,4433.38,4483.13,4378.23,4572.18,4671.11,4344.95,4408.725,4435.89,4464.3275,4471.75,4465.3550000000005,4467.894285714286,4456.68625,4469.518888888889,4489.678
2020-05-15,4277.63,"4,314.97","4,335.77","4,255.19",111.24M,0.11%,4273.13,4344.95,4472.5,4490.22,4549.64,4501.44,4433.38,4483.13,4378.23,4572.18,4273.13,4309.04,4363.526666666667,4395.200000000001,4426.088000000001,4438.6466666666665,4437.894285714286,4443.54875,4436.291111111112,4449.88
2020-05-18,4498.34,"4,361.03","4,508.95","4,354.73",119.51M,5.16%,4277.63,4273.13,4344.95,4472.5,4490.22,4549.64,4501.44,4433.38,4483.13,4378.23,4277.63,4275.38,4298.57,4342.0525,4371.686,4401.345,4415.644285714286,4417.86125,4425.113333333333,4420.425
2020-05-19,4458.16,"4,536.07","4,536.07","4,421.11",138.77M,-0.89%,4498.34,4277.63,4273.13,4344.95,4472.5,4490.22,4549.64,4501.44,4433.38,4483.13,4498.34,4387.985000000001,4349.7,4348.5125,4373.3099999999995,4392.795,4415.201428571429,4425.98125,4426.803333333333,4432.436
2020-05-20,4496.98,"4,434.62","4,499.79","4,396.20",107.24M,0.87%,4458.16,4498.34,4277.63,4273.13,4344.95,4472.5,4490.22,4549.64,4501.44,4433.38,4458.16,4478.25,4411.376666666667,4376.815,4370.442,4387.451666666667,4402.132857142858,4420.57125,4429.556666666667,4429.939
2020-05-21,4445.45,"4,443.92","4,498.08","4,429.27",88.24M,-1.15%,4496.98,4458.16,4498.34,4277.63,4273.13,4344.95,4472.5,4490.22,4549.64,4501.44,4496.98,4477.57,4484.493333333333,4432.7775,4400.848,4391.531666666667,4403.098571428572,4413.98875,4429.061111111111,4436.299000000001
2020-05-22,4444.56,"4,381.82","4,475.35","4,368.80",99.19M,-0.02%,4445.45,4496.98,4458.16,4498.34,4277.63,4273.13,4344.95,4472.5,4490.22,4549.64,4445.45,4471.215,4466.863333333333,4474.7325,4435.312,4408.281666666667,4399.234285714286,4408.3925,4417.484444444444,4430.7
2020-05-25,4539.91,"4,482.54","4,539.91","4,451.56",65.97M,2.15%,4444.56,4445.45,4496.98,4458.16,4498.34,4277.63,4273.13,4344.95,4472.5,4490.22,4444.56,4445.005,4462.330000000001,4461.287499999999,4468.698,4436.8533333333335,4413.464285714285,4404.9,4412.411111111111,4420.192
2020-05-26,4606.24,"4,588.30","4,619.84","4,573.89",140.17M,1.46%,4539.91,4444.56,4445.45,4496.98,4458.16,4498.34,4277.63,4273.13,4344.95,4472.5,4539.91,4492.235000000001,4476.64,4481.724999999999,4477.012000000001,4480.566666666667,4451.575714285715,4429.2699999999995,4419.901111111111,4425.161
2020-05-27,4688.74,"4,621.77","4,711.99","4,614.41",177.96M,1.79%,4606.24,4539.91,4444.56,4445.45,4496.98,4458.16,4498.34,4277.63,4273.13,4344.95,4606.24,4573.075,4530.236666666667,4509.04,4506.628,4498.55,4498.5199999999995,4470.9087500000005,4448.933333333333,4438.535
2020-05-28,4771.39,"4,718.11","4,784.09","4,701.52",127.44M,1.76%,4688.74,4606.24,4539.91,4444.56,4445.45,4496.98,4458.16,4498.34,4277.63,4273.13,4688.74,4647.49,4611.63,4569.8625,4544.9800000000005,4536.9800000000005,4525.72,4522.2975,4495.112222222222,4472.914
2020-05-29,4695.44,"4,733.98","4,768.85","4,695.36",167.18M,-1.59%,4771.39,4688.74,4606.24,4539.91,4444.56,4445.45,4496.98,4458.16,4498.34,4277.63,4771.39,4730.0650000000005,4688.79,4651.57,4610.168,4582.715,4570.467142857143,4556.42875,4549.974444444445,4522.74
2020-06-01,4762.78,"4,776.72","4,782.03","4,721.63",75.98M,1.43%,4695.44,4771.39,4688.74,4606.24,4539.91,4444.56,4445.45,4496.98,4458.16,4498.34,4695.44,4733.415,4718.5233333333335,4690.452499999999,4660.343999999999,4624.38,4598.818571428571,4586.08875,4571.874444444444,4564.521
2020-06-02,4858.97,"4,799.88","4,880.15","4,795.28",126.84M,2.02%,4762.78,4695.44,4771.39,4688.74,4606.24,4539.91,4444.56,4445.45,4496.98,4458.16,4762.78,4729.11,4743.203333333333,4729.5875,4704.918,4677.416666666667,4644.151428571428,4619.31375,4605.721111111111,4590.964999999999
2020-06-03,5022.38,"4,911.45","5,026.45","4,909.99",160.11M,3.36%,4858.97,4762.78,4695.44,4771.39,4688.74,4606.24,4539.91,4444.56,4445.45,4496.98,4858.97,4810.875,4772.3966666666665,4772.1449999999995,4755.464,4730.593333333333,4703.352857142857,4671.00375,4645.942222222222,4631.046
2020-06-04,5011.98,"4,994.18","5,052.75","4,966.82",138.79M,-0.21%,5022.38,4858.97,4762.78,4695.44,4771.39,4688.74,4606.24,4539.91,4444.56,4445.45,5022.38,4940.675,4881.376666666667,4834.8925,4822.192,4799.95,4772.277142857143,4743.231250000001,4710.045555555556,4683.586
2020-06-05,5197.79,"5,060.92","5,199.65","5,060.92",186.84M,3.71%,5011.98,5022.38,4858.97,4762.78,4695.44,4771.39,4688.74,4606.24,4539.91,4444.56,5011.98,5017.18,4964.443333333334,4914.0275,4870.3099999999995,4853.823333333333,4830.24,4802.24,4773.0922222222225,4740.239
2020-06-08,5175.52,"5,159.30","5,213.67","5,137.20",152.91M,-0.43%,5197.79,5011.98,5022.38,4858.97,4762.78,4695.44,4771.39,4688.74,4606.24,4539.91,5197.79,5104.885,5077.383333333334,5022.78,4970.780000000001,4924.89,4902.961428571428,4876.18375,4846.19,4815.562
2020-06-09,5095.11,"5,187.09","5,203.42","5,053.21",160.53M,-1.55%,5175.52,5197.79,5011.98,5022.38,4858.97,4762.78,4695.44,4771.39,4688.74,4606.24,5175.52,5186.655000000001,5128.43,5101.9175,5053.328,5004.903333333334,4960.694285714286,4937.03125,4909.443333333333,4879.123
2020-06-10,5053.42,"5,119.86","5,152.45","5,043.57",121.34M,-0.82%,5095.11,5175.52,5197.79,5011.98,5022.38,4858.97,4762.78,4695.44,4771.39,4688.74,5095.11,5135.3150000000005,5156.14,5120.1,5100.556,5060.291666666667,5017.79,4977.49625,4954.595555555556,4928.01
2020-06-11,4815.6,"4,925.95","4,956.30","4,815.60",161.27M,-4.71%,5053.42,5095.11,5175.52,5197.79,5011.98,5022.38,4858.97,4762.78,4695.44,4771.39,5053.42,5074.264999999999,5108.016666666667,5130.46,5106.764,5092.7,5059.3099999999995,5022.24375,4985.932222222222,4964.478
2020-06-12,4839.26,"4,774.11","4,940.79","4,759.17",133.16M,0.49%,4815.6,5053.42,5095.11,5175.52,5197.79,5011.98,5022.38,4858.97,4762.78,4695.44,4815.6,4934.51,4988.043333333333,5034.9125,5067.488,5058.236666666667,5053.114285714286,5028.8462500000005,4999.283333333334,4968.899
2020-06-15,4815.72,"4,716.98","4,841.53","4,691.81",111.89M,-0.49%,4839.26,4815.6,5053.42,5095.11,5175.52,5197.79,5011.98,5022.38,4858.97,4762.78,4839.26,4827.43,4902.76,4950.8475,4995.782,5029.45,5026.954285714286,5026.3825,5007.781111111111,4983.281
2020-06-16,4952.46,"4,922.79","5,006.79","4,887.56",144.45M,2.84%,4815.72,4839.26,4815.6,5053.42,5095.11,5175.52,5197.79,5011.98,5022.38,4858.97,4815.72,4827.49,4823.526666666668,4881.0,4923.822,4965.7716666666665,4998.917142857143,5000.549999999999,5002.975555555556,4988.575
2020-06-17,4995.97,"4,952.57","5,026.84","4,952.57",107.06M,0.88%,4952.46,4815.72,4839.26,4815.6,5053.42,5095.11,5175.52,5197.79,5011.98,5022.38,4952.46,4884.09,4869.1466666666665,4855.76,4895.2919999999995,4928.595,4963.87,4993.110000000001,4995.206666666667,4997.924000000001
2020-06-18,4958.75,"4,978.30","5,017.18","4,908.60",101.19M,-0.75%,4995.97,4952.46,4815.72,4839.26,4815.6,5053.42,5095.11,5175.52,5197.79,5011.98,4995.97,4974.215,4921.383333333334,4900.8525,4883.802000000001,4912.071666666667,4938.22,4967.8825,4993.427777777778,4995.282999999999
2020-06-19,4979.45,"4,997.53","5,040.47","4,979.45",219.58M,0.42%,4958.75,4995.97,4952.46,4815.72,4839.26,4815.6,5053.42,5095.11,5175.52,5197.79,4958.75,4977.360000000001,4969.06,4930.725,4912.432000000001,4896.293333333334,4918.74,4940.78625,4966.8677777777775,4989.96
2020-06-22,4948.7,"4,928.01","5,006.40","4,902.06",84.70M,-0.62%,4979.45,4958.75,4995.97,4952.46,4815.72,4839.26,4815.6,5053.42,5095.11,5175.52,4979.45,4969.1,4978.056666666666,4971.657499999999,4940.469999999999,4923.6016666666665,4908.172857142857,4926.328750000001,4945.082222222223,4968.126
2020-06-23,5017.68,"4,972.88","5,046.31","4,962.60",101.53M,1.39%,4948.7,4979.45,4958.75,4995.97,4952.46,4815.72,4839.26,4815.6,5053.42,5095.11,4948.7,4964.075,4962.3,4970.7175,4967.066,4941.841666666666,4927.187142857144,4913.23875,4928.814444444444,4945.444
2020-06-24,4871.36,"4,985.63","5,004.04","4,871.36",97.10M,-2.92%,5017.68,4948.7,4979.45,4958.75,4995.97,4952.46,4815.72,4839.26,4815.6,5053.42,5017.68,4983.1900000000005,4981.943333333334,4976.1449999999995,4980.11,4975.501666666666,4952.675714285715,4938.49875,4924.843333333334,4937.701
